,Alex's Team,CWB Shams,Deng's Team,GiannisISmySON,Goodtime Brother,Kojima Production,Luke's Team,Michael Chow's Team,TST WATER CANNON,WW,sean's Dazzling Team,甄姬拔菜,离岛落得慢,达里安人阿闹
Alex's Team,,3-8-0,9-2-0,6-5-0,6-5-0,6-4-1,6-5-0,5-6-0,9-2-0,4-7-0,8-2-1,6-5-0,6-5-0,9-2-0
CWB Shams,8-3-0,,7-3-1,4-7-0,8-3-0,6-4-1,5-6-0,7-3-1,8-3-0,4-7-0,9-2-0,7-4-0,8-3-0,6-5-0
Deng's Team,2-9-0,3-7-1,,4-7-0,5-6-0,4-7-0,2-9-0,4-7-0,5-5-1,3-8-0,7-4-0,2-9-0,4-7-0,3-8-0
GiannisISmySON,5-6-0,7-4-0,7-4-0,,6-4-1,7-4-0,5-5-1,8-3-0,8-3-0,4-7-0,8-3-0,5-6-0,7-4-0,5-4-2
Goodtime Brother,5-6-0,3-8-0,6-5-0,4-6-1,,5-5-1,3-8-0,6-5-0,8-3-0,4-7-0,7-4-0,4-6-1,6-5-0,5-6-0
Kojima Production,4-6-1,4-6-1,7-4-0,4-7-0,5-5-1,,5-6-0,5-6-0,7-4-0,3-8-0,7-4-0,6-5-0,7-4-0,4-7-0
Luke's Team,5-6-0,6-5-0,9-2-0,5-5-1,8-3-0,6-5-0,,6-5-0,8-3-0,4-7-0,9-2-0,5-6-0,6-5-0,7-4-0
Michael Chow's Team,6-5-0,3-7-1,7-4-0,3-8-0,5-6-0,6-5-0,5-6-0,,5-6-0,3-8-0,8-2-1,5-6-0,6-5-0,5-5-1
TST WATER CANNON,2-9-0,3-8-0,5-5-1,3-8-0,3-8-0,4-7-0,3-8-0,6-5-0,,4-7-0,7-4-0,3-8-0,4-7-0,3-8-0
WW,7-4-0,7-4-0,8-3-0,7-4-0,7-4-0,8-3-0,7-4-0,8-3-0,7-4-0,,9-2-0,7-4-0,8-3-0,8-3-0
sean's Dazzling Team,2-8-1,2-9-0,4-7-0,3-8-0,4-7-0,4-7-0,2-9-0,2-8-1,4-7-0,2-9-0,,3-8-0,2-8-1,3-8-0
甄姬拔菜,5-6-0,4-7-0,9-2-0,6-5-0,6-4-1,5-6-0,6-5-0,6-5-0,8-3-0,4-7-0,8-3-0,,6-5-0,7-4-0
离岛落得慢,5-6-0,3-8-0,7-4-0,4-7-0,5-6-0,4-7-0,5-6-0,5-6-0,7-4-0,3-8-0,8-2-1,5-6-0,,4-7-0
达里安人阿闹,2-9-0,5-6-0,8-3-0,4-5-2,6-5-0,7-4-0,4-7-0,5-5-1,8-3-0,3-8-0,8-3-0,4-7-0,7-4-0,
